event_id,event_title,event_description,event_link,category_ids,category_titles,occurrence_date,occurrence_type,longitude,latitude,year,month,day,region,country,continent
EONET_12305,Wildfire in Sudan 1023210,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_12305,wildfires,Wildfires,2024-12-31 19:00:00+00:00,Point,26.20167704572428,7.108130554584191,2024,12,31,Western Bahr al Ghazal,South Sudan,Africa
EONET_12306,Wildfire in Central African Republic 1023222,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_12306,wildfires,Wildfires,2024-12-31 19:00:00+00:00,Point,23.54838429397989,8.328229278608866,2024,12,31,Haute-Kotto,Central African Republic,Africa
EONET_12307,Wildfire in Sudan 1023223,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_12307,wildfires,Wildfires,2024-12-31 19:00:00+00:00,Point,28.23291241255462,5.9826071809141546,2024,12,31,Western Equatoria,South Sudan,Africa
EONET_12320,Wildfire in Central African Republic 1023227,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_12320,wildfires,Wildfires,2024-12-31 19:00:00+00:00,Point,25.25894235538426,7.266378284672815,2024,12,31,Western Bahr al Ghazal,South Sudan,Africa
EONET_12330,Wildfire in Sudan 1023238,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_12330,wildfires,Wildfires,2024-12-31 19:00:00+00:00,Point,27.275564416995596,6.715445291087088,2024,12,31,Western Equatoria,South Sudan,Africa
EONET_12331,Wildfire in Sudan 1023244,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_12331,wildfires,Wildfires,2024-12-31 19:00:00+00:00,Point,28.63980075781764,5.161423251213588,2024,12,31,Western Equatoria,South Sudan,Africa
EONET_12343,Wildfire in Central African Republic 1023249,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_12343,wildfires,Wildfires,2024-12-31 19:00:00+00:00,Point,24.720602259724377,7.539876500960804,2024,12,31,Western Bahr al Ghazal,South Sudan,Africa
EONET_12364,Wildfire in Central African Republic 1023265,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_12364,wildfires,Wildfires,2024-12-31 19:00:00+00:00,Point,23.345129131347512,8.804583536249867,2024,12,31,Haute-Kotto,Central African Republic,Africa
EONET_12365,Wildfire in Central African Republic 1023266,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_12365,wildfires,Wildfires,2024-12-31 19:00:00+00:00,Point,24.432461879308494,7.035208922425168,2024,12,31,Western Bahr al Ghazal,South Sudan,Africa
EONET_12374,Wildfire in Sudan 1023275,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_12374,wildfires,Wildfires,2024-12-31 19:00:00+00:00,Point,32.82646701499584,9.636456734238909,2024,12,31,Upper Nile,South Sudan,Africa
EONET_12375,Wildfire in Nigeria 1023276,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_12375,wildfires,Wildfires,2024-12-31 19:00:00+00:00,Point,10.556407306837032,9.019905871814055,2024,12,31,Taraba,Nigeria,Africa
